Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,Class
55730,1155.4122,378.05637,263.22253,64748,377.58276,0.62779045,0.9376727,0.5149877,0.7608211,2.058789,0.75493383,1
81850,1203.991,564.6655,265.6424,113399,398.52402,0.6663807,0.953716,0.72383624,0.7910001,2.8334174,0.8638975,0
56691,1230.3606,371.06348,244.08011,71541,373.9993,0.629373,0.9460486,0.58300483,0.7504833,2.1381848,0.79102767,1
62410,1367.2695,415.7949,233.07072,80367,351.72537,0.6775221,0.9702877,0.6447152,0.70283604,2.2911177,0.7437166,1
59028,1090.9648,385.26892,254.59799,64327,380.62006,0.6444242,0.9319284,0.527692,0.78516376,2.0703664,0.75535387,1
93170,1147.2227,398.81235,228.05707,61336,345.08795,0.8148794,0.9631248,0.68030095,0.7429403,2.168715,0.74280083,0
57085,1120.0851,419.731,251.87357,63876,369.65643,0.63375205,0.94706523,0.5379166,0.7834269,2.1177104,0.7516633,1
57911,1140.6289,395.17584,273.65674,69513,378.4961,0.62960756,0.9432204,0.531991,0.772992,2.0871863,0.721817,1
63290,1083.3163,507.28424,247.19281,92735,405.4425,0.5491182,0.9401457,0.5628986,0.7730646,2.5706828,0.809852,0
57249,1200.8601,391.61398,277.59323,74261,377.94684,0.643128,0.9548644,0.57094216,0.7396509,2.070407,0.70730305,1
79916,1128.6372,406.66937,251.28018,70249,354.16574,0.66791624,0.9550077,0.6546987,0.6648451,2.191768,0.7848728,0
72791,996.9297,412.3573,246.4235,67451,371.5572,0.69847214,0.936539,0.55922616,0.77741325,2.0342727,0.73089707,1
73199,1180.4314,449.365,197.98459,73022,341.95804,0.71183807,0.9521175,0.66644365,0.7004155,2.5648963,0.75363696,0
68051,1076.49,399.83963,241.90636,64613,360.08173,0.6320267,0.93170667,0.5698928,0.7419955,2.1556907,0.73853236,0
69672,1108.5033,449.6311,257.25226,83968,395.00455,0.55944395,0.93439436,0.5305038,0.7521951,2.3262627,0.79629123,1
79789,1187.6052,422.25046,250.63538,94401,389.15048,0.68321097,0.9585024,0.66142833,0.8122282,2.459495,0.7780371,0
93005,1262.8745,424.69995,271.51764,80954,330.2011,0.70431674,0.95419157,0.6223186,0.6841263,1.6606475,0.70208085,1
72543,1246.878,414.4829,287.85638,77325,352.8828,0.61352,0.93906003,0.5465342,0.7235421,1.8001902,0.7126104,1
64835,1259.958,477.39404,259.0667,104372,397.4974,0.6989665,0.9706283,0.64878505,0.8065258,2.4301167,0.78948474,0
91833,1279.278,453.19882,283.08496,81028,314.80927,0.63453406,0.9417383,0.58528733,0.6464558,1.4811428,0.6712783,1
